timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/04/25 18:08:01.181, 0 %, 0 %, 43
2025/04/25 18:08:06.183, 0 %, 0 %, 43
2025/04/25 18:08:11.184, 0 %, 0 %, 43
2025/04/25 18:08:16.184, 0 %, 0 %, 43
2025/04/25 18:08:21.185, 0 %, 0 %, 43
2025/04/25 18:08:26.185, 0 %, 0 %, 43
2025/04/25 18:08:31.185, 0 %, 0 %, 43
2025/04/25 18:08:36.186, 0 %, 0 %, 43
2025/04/25 18:08:41.186, 0 %, 0 %, 43
2025/04/25 18:08:46.187, 0 %, 0 %, 43
2025/04/25 18:08:51.187, 0 %, 0 %, 43
2025/04/25 18:08:56.188, 0 %, 0 %, 43
2025/04/25 18:09:01.188, 0 %, 0 %, 43
2025/04/25 18:09:06.188, 0 %, 0 %, 43
2025/04/25 18:09:11.191, 0 %, 0 %, 43
2025/04/25 18:09:16.192, 2 %, 0 %, 46
2025/04/25 18:09:21.192, 2 %, 0 %, 46
2025/04/25 18:09:26.192, 0 %, 0 %, 46
2025/04/25 18:09:31.193, 16 %, 8 %, 47
2025/04/25 18:09:36.193, 0 %, 0 %, 47
2025/04/25 18:09:41.194, 0 %, 0 %, 46
2025/04/25 18:09:46.194, 0 %, 0 %, 46
2025/04/25 18:09:51.195, 0 %, 0 %, 46
2025/04/25 18:09:56.195, 0 %, 0 %, 46
2025/04/25 18:10:01.195, 0 %, 0 %, 46
2025/04/25 18:10:06.196, 0 %, 0 %, 46
2025/04/25 18:10:11.196, 0 %, 0 %, 46
2025/04/25 18:10:16.197, 0 %, 0 %, 46
2025/04/25 18:10:21.197, 0 %, 0 %, 46
2025/04/25 18:10:26.198, 0 %, 0 %, 46
2025/04/25 18:10:31.198, 0 %, 0 %, 46
2025/04/25 18:10:36.198, 0 %, 0 %, 46
2025/04/25 18:10:41.199, 0 %, 0 %, 46
2025/04/25 18:10:46.199, 0 %, 0 %, 46
2025/04/25 18:10:51.200, 0 %, 0 %, 46
2025/04/25 18:10:56.200, 0 %, 0 %, 46
2025/04/25 18:11:01.201, 0 %, 0 %, 46
2025/04/25 18:11:06.201, 0 %, 0 %, 46
2025/04/25 18:11:11.201, 0 %, 0 %, 46
2025/04/25 18:11:16.202, 0 %, 0 %, 46
2025/04/25 18:11:21.202, 0 %, 0 %, 46
2025/04/25 18:11:26.203, 0 %, 0 %, 46
2025/04/25 18:11:31.203, 0 %, 0 %, 46
2025/04/25 18:11:36.204, 0 %, 0 %, 46
2025/04/25 18:11:41.204, 0 %, 0 %, 46
2025/04/25 18:11:46.204, 0 %, 0 %, 46
2025/04/25 18:11:51.205, 0 %, 0 %, 46
2025/04/25 18:11:56.205, 0 %, 0 %, 46
2025/04/25 18:12:01.206, 0 %, 0 %, 46
2025/04/25 18:12:06.206, 0 %, 0 %, 46
2025/04/25 18:12:11.207, 0 %, 0 %, 46
2025/04/25 18:12:16.207, 0 %, 0 %, 46
2025/04/25 18:12:21.208, 0 %, 0 %, 46
