timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/08/05 17:26:05.137, 0 %, 0 %, 43
2025/08/05 17:26:10.142, 0 %, 0 %, 43
2025/08/05 17:26:15.142, 0 %, 0 %, 43
2025/08/05 17:26:20.143, 0 %, 0 %, 43
2025/08/05 17:26:25.143, 0 %, 0 %, 43
2025/08/05 17:26:30.144, 0 %, 0 %, 43
2025/08/05 17:26:35.144, 0 %, 0 %, 43
2025/08/05 17:26:40.145, 0 %, 0 %, 43
2025/08/05 17:26:45.145, 0 %, 0 %, 43
2025/08/05 17:26:50.146, 0 %, 0 %, 43
2025/08/05 17:26:55.146, 0 %, 0 %, 43
2025/08/05 17:27:00.146, 0 %, 0 %, 45
2025/08/05 17:27:05.147, 2 %, 0 %, 46
2025/08/05 17:27:10.147, 0 %, 0 %, 49
2025/08/05 17:27:15.148, 7 %, 1 %, 51
2025/08/05 17:27:20.148, 22 %, 4 %, 48
2025/08/05 17:27:25.149, 0 %, 0 %, 47
2025/08/05 17:27:30.149, 0 %, 0 %, 46
2025/08/05 17:27:35.149, 0 %, 0 %, 46
2025/08/05 17:27:40.150, 0 %, 0 %, 46
2025/08/05 17:27:45.150, 0 %, 0 %, 46
2025/08/05 17:27:50.151, 0 %, 0 %, 46
2025/08/05 17:27:55.151, 0 %, 0 %, 46
2025/08/05 17:28:00.152, 0 %, 0 %, 46
2025/08/05 17:28:05.152, 0 %, 0 %, 46
2025/08/05 17:28:10.152, 0 %, 0 %, 46
2025/08/05 17:28:15.153, 0 %, 0 %, 46
2025/08/05 17:28:20.153, 0 %, 0 %, 46
2025/08/05 17:28:25.154, 0 %, 0 %, 47
2025/08/05 17:28:30.154, 0 %, 0 %, 47
2025/08/05 17:28:35.155, 0 %, 0 %, 47
2025/08/05 17:28:40.155, 0 %, 0 %, 47
2025/08/05 17:28:45.156, 0 %, 0 %, 47
2025/08/05 17:28:50.156, 0 %, 0 %, 47
2025/08/05 17:28:55.157, 0 %, 0 %, 47
2025/08/05 17:29:00.157, 0 %, 0 %, 47
2025/08/05 17:29:05.157, 0 %, 0 %, 47
