timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/05/15 14:28:45.783, 0 %, 0 %, 43
2025/05/15 14:28:50.784, 0 %, 0 %, 43
2025/05/15 14:28:55.785, 0 %, 0 %, 43
2025/05/15 14:29:00.785, 0 %, 0 %, 43
2025/05/15 14:29:05.786, 0 %, 0 %, 43
2025/05/15 14:29:10.786, 0 %, 0 %, 43
2025/05/15 14:29:15.787, 0 %, 0 %, 43
2025/05/15 14:29:20.787, 0 %, 0 %, 43
2025/05/15 14:29:25.788, 0 %, 0 %, 43
2025/05/15 14:29:30.788, 0 %, 0 %, 43
2025/05/15 14:29:35.789, 0 %, 0 %, 43
2025/05/15 14:29:40.790, 0 %, 0 %, 43
2025/05/15 14:29:45.791, 0 %, 0 %, 43
2025/05/15 14:29:50.791, 4 %, 0 %, 43
2025/05/15 14:29:55.791, 6 %, 0 %, 43
2025/05/15 14:30:00.792, 0 %, 0 %, 43
2025/05/15 14:30:05.793, 1 %, 0 %, 44
2025/05/15 14:30:10.793, 0 %, 0 %, 45
2025/05/15 14:30:15.793, 0 %, 0 %, 44
2025/05/15 14:30:20.794, 7 %, 6 %, 44
2025/05/15 14:30:25.795, 0 %, 0 %, 44
2025/05/15 14:30:30.796, 0 %, 0 %, 43
2025/05/15 14:30:35.796, 0 %, 0 %, 43
2025/05/15 14:30:40.796, 0 %, 0 %, 43
2025/05/15 14:30:45.797, 0 %, 0 %, 43
2025/05/15 14:30:50.797, 0 %, 0 %, 43
2025/05/15 14:30:55.798, 0 %, 0 %, 43
2025/05/15 14:31:00.798, 0 %, 0 %, 43
2025/05/15 14:31:05.799, 0 %, 0 %, 43
2025/05/15 14:31:10.799, 0 %, 0 %, 43
2025/05/15 14:31:15.799, 0 %, 0 %, 43
2025/05/15 14:31:20.800, 0 %, 0 %, 43
2025/05/15 14:31:25.800, 0 %, 0 %, 43
2025/05/15 14:31:30.801, 0 %, 0 %, 43
2025/05/15 14:31:35.801, 0 %, 0 %, 43
2025/05/15 14:31:40.801, 0 %, 0 %, 43
2025/05/15 14:31:45.802, 0 %, 0 %, 43
2025/05/15 14:31:50.802, 0 %, 0 %, 43
2025/05/15 14:31:55.803, 0 %, 0 %, 43
2025/05/15 14:32:00.803, 0 %, 0 %, 43
2025/05/15 14:32:05.803, 0 %, 0 %, 43
2025/05/15 14:32:10.804, 0 %, 0 %, 43
2025/05/15 14:32:15.804, 0 %, 0 %, 43
2025/05/15 14:32:20.805, 0 %, 0 %, 43
2025/05/15 14:32:25.805, 0 %, 0 %, 43
2025/05/15 14:32:30.806, 0 %, 0 %, 43
2025/05/15 14:32:35.806, 0 %, 0 %, 43
2025/05/15 14:32:40.807, 0 %, 0 %, 43
2025/05/15 14:32:45.807, 0 %, 0 %, 43
2025/05/15 14:32:50.808, 0 %, 0 %, 43
2025/05/15 14:32:55.808, 0 %, 0 %, 43
2025/05/15 14:33:00.808, 93 %, 85 %, 55
2025/05/15 14:33:05.809, 89 %, 78 %, 58
2025/05/15 14:33:10.809, 91 %, 83 %, 58
2025/05/15 14:33:15.810, 90 %, 80 %, 59
2025/05/15 14:33:20.810, 91 %, 80 %, 59
2025/05/15 14:33:25.811, 91 %, 83 %, 60
2025/05/15 14:33:30.811, 92 %, 84 %, 60
2025/05/15 14:33:35.812, 91 %, 83 %, 60
2025/05/15 14:33:40.812, 91 %, 82 %, 61
2025/05/15 14:33:45.813, 91 %, 83 %, 61
